Timestamp,Gesture
88145972,Centered
88171393,Centered
88205392,Centered
88230589,Centered
88288444,Centered
88318417,Centered
88365359,Centered
88390804,Centered
88419107,Centered
88441672,Centered
88467070,Centered
88495576,Centered
88519649,Centered
88576535,Centered
88720134,Centered
88748566,Centered
88772629,Centered
88821602,Centered
88847086,Centered
88872497,Centered
88897703,Centered
88924579,Centered
88951567,Centered
88999587,Centered
89029389,Centered
89059395,Centered
89110563,up
89144637,up
89206413,up
89256578,up
89308431,up
89338404,up
89387567,up
89412961,up
89440107,up
89463796,up
89489120,up
89515558,up
89539609,up
89607408,up
89643419,up
89692558,up
89726398,up
89786586,up
89810569,up
89840614,up
89888565,up
89916555,up
89940567,up
89970438,up
90055404,up
90166553,up
90190567,up
90254565,up
90276558,up
90300554,up
90358436,up
90465403,up
90515592,up
90612553,up
90646113,up
90671855,up
90700100,up
90724560,up
90750555,up
90798611,up
90828410,up
90875384,up
90899550,up
90953561,up
90977568,up
91007393,up
91047402,up
91099629,up
91125403,up
91175371,up
91199561,up
91265544,up
91290558,up
91314555,up
91350398,up
91430372,up
91460382,up
91492551,up
91561404,up
91611394,up
91661381,up
91710811,up
91735752,up
91766335,up
91791540,up
91815553,up
91862787,up
91905083,up
91933538,up
91961397,up
92019356,up
92048738,up
92076360,up
92104552,up
92133369,up
92198394,up
92248383,up
92276548,up
92310387,up
92364559,up
92388548,up
92412539,up
92466547,up
92500543,up
92528357,up
92558379,up
92634395,up
92686550,up
92710541,up
92759541,up
92786084,up
92809569,up
92869379,up
92947537,up
92971545,up
92995542,up
93025726,up
93121536,up
93149532,up
93173538,up
93227378,up
93267387,up
93297384,up
93343725,up
93393540,up
93417535,up
93447354,up
93501378,up
93531543,up
93559379,up
93639362,up
93689379,up
93719378,up
93797044,up
93822394,up
93847931,up
93875383,up
93903523,up
93927747,up
93983931,up
94010540,up
94034534,up
94092539,up
94117770,up
94147532,up
94179354,up
94237380,up
94266581,up
94430097,up
94455733,up
94481071,up
94506447,up
94536805,up
94557534,up
94587708,up
94635535,up
94659530,up
94689529,up
94775370,up
94825360,up
94861345,up
94901376,up
94959509,up
94984534,up
95006371,up
95064796,up
95089348,up
95114844,up
95140061,up
95166515,up
95190527,up
95248335,up
95284345,up
95309520,up
95403357,up
95443389,up
95483373,up
95515510,up
95567513,up
95591523,up
95615517,up
95639529,up
95690522,up
95732340,up
95768351,up
95792518,up
95864331,up
95894328,up
95920330,up
95980348,up
96030365,up
96052715,up
96083882,up
96167514,up
96191526,up
96216519,up
96264755,up
96294337,up
96344358,up
96415522,up
96457341,up
96484519,up
96624379,up
96684408,up
96714348,up
96931561,up
96988602,up
97015318,up
97040442,up
97065874,up
97091048,up
97116505,up
97141862,up
97167347,up
97196495,up
97220513,up
97276910,up
97302512,up
97327822,up
97355339,up
97385312,up
97415311,up
97473502,up
97497513,up
97525698,up
97605333,up
97653314,up
97682694,up
97708115,up
97733410,up
97758683,up
97787495,up
97811504,up
97871502,up
97895496,up
97919506,up
97979331,up
98009328,up
98039496,up
98101310,up
98131351,up
98161330,up
98259351,up
98309337,up
98339336,up
98417641,up
98444496,up
98468489,up
98522500,up
98550353,up
98580341,up
98839718,up
98865161,up
98890301,up
98915675,up
98945498,up
98969492,up
99030494,up
99056318,up
99089486,up
99137492,up
99161496,up
99191501,up
99216547,up
99325588,up
99347482,up
99377480,up
99463317,up
99508134,up
99532327,up
99558053,up
99587288,up
99611486,up
99639548,up
99689270,up
99718480,up
99743495,up
99797489,up
99819481,up
99853309,up
99891325,up
99971290,up
100001312,up
100061316,up
100095479,up
100143491,up
100175477,up
100205477,up
100227339,up
100281497,up
100305481,up
100329492,up
100377471,up
100413300,up
100443302,up
100503323,up
100543306,up
100579368,up
100609309,up
100884547,up
100914329,up
100965482,up
101013476,up
101037471,up
101061484,up
101091482,up
101139485,up
101163478,up
101193476,up
101219299,up
101273489,up
101312286,up
101340478,up
101398283,up
101428281,up
101458280,up
101527671,up
101555292,up
101579479,up
101603498,up
101659348,up
101689317,up
101738308,up
101822468,up
101852467,up
101876475,up
101924484,up
101948475,up
101980300,up
102058460,up
102086341,up
102126294,up
102223313,up
102273282,up
102297471,up
102351310,up
102411297,up
102461315,up
102511301,up
102590311,up
102635295,up
102685313,up
102737468,up
102759520,up
102821298,up
102868561,up
102923482,up
102947460,up
102971474,up
103025463,up
103049470,up
103073466,up
103124304,up
103164367,up
103194309,up
103244300,up
103318460,up
103346264,up
103370462,up
103394474,up
103663459,up
104314274,Centered
104344272,Centered
104374290,Centered
104404292,Centered
104470452,Centered
104495452,Centered
104519460,Centered
104547326,Centered
104698452,Centered
104723632,Centered
104747461,Centered
104771451,Centered
104825459,Centered
104849442,Centered
104873439,Centered
104897447,Centered
104955439,Centered
104991294,Centered
105039275,Centered
105103450,Centered
105127436,Centered
105151446,Centered
105175440,Centered
105229450,Centered
105253442,Centered
105277451,Centered
105307450,Centered
105509295,Centered
105539271,Centered
105571296,Centered
105601275,Centered
105681288,Centered
105711266,Centered
105735433,Centered
105761276,Centered
105871292,Centered
105901266,Centered
105931434,Centered
105977433,Centered
106007256,Centered
106047308,Centered
106077283,Centered
106153251,Centered
106183268,Centered
106223280,Centered
106275438,Centered
106299448,Centered
106329447,Centered
106377426,Centered
106401444,Centered
106425472,Centered
106511428,Centered
106535441,Centered
106565439,Centered
106604287,Centered
106673468,Centered
106725440,Centered
106749432,Centered
106773443,Centered
106827461,Centered
106851420,Centered
106875435,Centered
106923439,Centered
106953436,Centered
106977618,Centered
107025431,Centered
107055430,up
107081298,up
107131263,up
107221259,up
107270270,up
107320236,up
107371439,up
107401304,up
107451244,up
107501264,up
107551274,up
107577454,up
107673258,up
107703433,up
107728598,up
107783608,up
107819275,up
107869263,up
107975250,up
108034272,up
108084315,up
108114256,up
108196414,up
108226413,up
108250424,up
108304414,up
108336270,up
108366269,up
108456266,up
108506251,up
108528411,up
108558480,up
108626223,up
108650420,up
108674430,up
108731201,up
108756517,up
108787413,up
108811476,up
108857817,up
108883216,up
108908948,up
108934035,up
108964405,up
108993066,up
109023427,up
109653428,Centered
109677322,Centered
109707872,Centered
109732411,Centered
109756425,Centered
109812250,Centered
109837651,Centered
109863331,Centered
109888774,Centered
109914412,Centered
109944585,Centered
109992416,Centered
110016440,Centered
110083014,Centered
110133498,Centered
110158763,Centered
110184040,Centered
110213395,Centered
110237405,Centered
