Timestamp,Heading,Pitch,Roll
88047400,125,-70,-89
88070124,125,-70,-89
88095375,124,-69,-89
88120579,124,-69,-88
88145972,124,-69,-88
88171393,123,-69,-88
88205392,123,-69,-87
88230589,122,-69,-87
88288444,122,-69,-86
88318417,122,-69,-86
88365359,122,-69,-86
88390804,122,-69,-85
88419107,121,-69,-85
88441672,121,-69,-84
88467070,120,-69,-83
88495576,120,-69,-83
88519649,119,-69,-82
88576535,118,-69,-81
88720134,117,-69,-80
88748566,117,-69,-80
88772629,116,-69,-79
88821602,115,-69,-78
88847086,115,-69,-77
88872497,114,-69,-77
88897703,114,-69,-76
88924579,114,-69,-76
88951567,113,-69,-75
88999587,112,-69,-73
89029389,111,-69,-73
89059395,111,-69,-72
89110563,109,-69,-70
89144637,109,-69,-70
89206413,108,-69,-70
89256578,108,-69,-69
89308431,107,-69,-68
89338404,107,-69,-68
89387567,106,-69,-67
89412961,105,-69,-67
89440107,105,-68,-66
89463796,104,-68,-66
89489120,104,-68,-65
89515558,103,-68,-64
89539609,103,-68,-64
89607408,102,-68,-63
89643419,101,-68,-63
89692558,101,-68,-62
89726398,101,-68,-62
89786586,100,-68,-61
89810569,99,-68,-60
89840614,99,-68,-60
89888565,98,-68,-59
89916555,98,-68,-59
89940567,97,-68,-58
89970438,97,-68,-58
90055404,96,-67,-57
90166553,95,-67,-56
90190567,95,-67,-56
90254565,94,-67,-55
90276558,94,-67,-54
90300554,93,-67,-54
90358436,93,-67,-53
90465403,92,-67,-52
90515592,92,-67,-52
90612553,91,-67,-51
90646113,91,-66,-51
90671855,91,-66,-51
90700100,91,-66,-51
90724560,90,-66,-50
90750555,90,-66,-50
90798611,89,-66,-49
90828410,88,-65,-48
90875384,88,-65,-48
90899550,87,-65,-47
90953561,86,-65,-46
90977568,86,-65,-45
91007393,86,-65,-45
91047402,85,-65,-44
91099629,84,-64,-43
91125403,83,-64,-42
91175371,82,-64,-41
91199561,81,-64,-40
91265544,81,-64,-39
91290558,80,-64,-38
91314555,80,-64,-38
91350398,80,-64,-38
91430372,79,-63,-37
91460382,79,-63,-36
91492551,79,-63,-36
91561404,78,-62,-36
91611394,78,-62,-36
91661381,78,-62,-35
91710811,77,-62,-34
91735752,77,-61,-34
91766335,77,-61,-34
91791540,76,-61,-33
91815553,76,-61,-33
91862787,75,-61,-32
91905083,75,-61,-32
91933538,75,-61,-32
91961397,74,-61,-31
92019356,74,-61,-30
92048738,73,-60,-30
92076360,73,-60,-30
92104552,73,-60,-29
92133369,73,-60,-29
92198394,72,-60,-28
92248383,72,-60,-28
92276548,72,-59,-28
92310387,71,-59,-27
92364559,71,-59,-27
92388548,71,-59,-26
92412539,70,-59,-26
92466547,70,-58,-25
92500543,70,-58,-25
92528357,69,-58,-25
92558379,69,-58,-24
92634395,69,-57,-24
92686550,68,-57,-23
92710541,68,-57,-23
92759541,68,-57,-23
92786084,68,-57,-22
92809569,67,-56,-22
92869379,67,-56,-22
92947537,67,-56,-21
92971545,67,-56,-21
92995542,66,-55,-20
93025726,66,-55,-20
93121536,66,-55,-20
93149532,65,-55,-19
93173538,65,-55,-19
93227378,65,-54,-18
93267387,65,-54,-18
93297384,64,-54,-18
93343725,64,-54,-18
93393540,64,-54,-17
93417535,64,-53,-17
93447354,64,-53,-17
93501378,63,-53,-16
93531543,63,-53,-16
93559379,63,-52,-16
93639362,63,-52,-15
93689379,62,-52,-15
93719378,62,-52,-14
93797044,62,-51,-14
93822394,62,-51,-14
93847931,62,-51,-13
93875383,62,-51,-13
93903523,61,-51,-13
93927747,61,-50,-13
93983931,61,-50,-12
94010540,61,-50,-12
94034534,61,-50,-12
94092539,60,-49,-11
94117770,60,-49,-11
94147532,60,-49,-11
94179354,60,-49,-10
94237380,60,-48,-10
94266581,59,-48,-10
94430097,59,-48,-9
94455733,59,-48,-9
94481071,59,-47,-9
94506447,59,-47,-9
94536805,59,-47,-8
94557534,59,-47,-8
94587708,58,-47,-8
94635535,58,-46,-8
94659530,58,-46,-7
94689529,58,-46,-7
94775370,58,-45,-7
94825360,58,-45,-6
94861345,58,-45,-6
94901376,57,-45,-6
94959509,57,-44,-6
94984534,57,-44,-5
95006371,57,-44,-5
95064796,57,-43,-5
95089348,57,-43,-5
95114844,56,-43,-4
95140061,56,-42,-4
95166515,56,-42,-4
95190527,56,-42,-4
95248335,56,-42,-3
95284345,56,-41,-3
95309520,56,-41,-3
95403357,55,-41,-2
95443389,55,-40,-2
95483373,55,-40,-2
95515510,55,-40,-2
95567513,55,-40,-1
95591523,55,-39,-1
95615517,55,-39,-1
95639529,55,-39,0
95690522,55,-38,0
95732340,55,-38,0
95768351,55,-38,0
95792518,55,-38,0
95864331,54,-37,0
95894328,54,-37,0
95920330,54,-37,0
95980348,54,-37,1
96030365,54,-36,1
96052715,54,-36,1
96083882,54,-36,1
96167514,54,-35,1
96191526,54,-35,2
96216519,54,-35,2
96264755,54,-34,2
96294337,54,-34,2
96344358,54,-34,3
96415522,53,-33,3
96457341,53,-33,3
96484519,53,-33,4
96624379,53,-33,4
96684408,53,-32,4
96714348,53,-32,4
96931561,53,-31,5
96988602,53,-31,5
97015318,53,-31,5
97040442,53,-31,5
97065874,53,-30,5
97091048,53,-30,5
97116505,53,-30,6
97141862,53,-29,6
97167347,53,-29,6
97196495,53,-29,6
97220513,53,-29,6
97276910,53,-28,6
97302512,53,-28,7
97327822,53,-27,7
97355339,53,-27,7
97385312,53,-27,7
97415311,53,-27,7
97473502,52,-26,7
97497513,52,-26,8
97525698,52,-25,8
97605333,52,-25,8
97653314,52,-24,8
97682694,52,-24,8
97708115,52,-24,8
97733410,52,-24,8
97758683,52,-23,9
97787495,52,-23,9
97811504,52,-23,9
97871502,52,-22,9
97895496,52,-22,9
97919506,52,-22,10
97979331,52,-21,10
98009328,52,-21,10
98039496,52,-20,10
98101310,52,-20,10
98131351,52,-19,11
98161330,52,-19,11
98259351,52,-19,11
98309337,52,-18,11
98339336,52,-18,11
98417641,52,-17,12
98444496,52,-17,12
98468489,52,-17,12
98522500,52,-16,12
98550353,52,-16,12
98580341,52,-16,12
98839718,52,-15,13
98865161,52,-15,13
98890301,52,-14,13
98915675,52,-14,13
98945498,52,-14,13
98969492,52,-14,13
99030494,52,-13,14
99056318,52,-13,14
99089486,52,-12,14
99137492,52,-12,14
99161496,52,-11,14
99191501,52,-11,14
99216547,52,-11,15
99325588,52,-10,15
99347482,52,-10,15
99377480,52,-10,15
99463317,52,-9,15
99508134,52,-9,15
99532327,53,-8,16
99558053,53,-8,16
99587288,53,-8,16
99611486,53,-8,16
99639548,53,-7,16
99689270,53,-7,16
99718480,53,-7,16
99743495,53,-6,16
99797489,53,-6,17
99819481,53,-5,17
99853309,53,-5,17
99891325,53,-5,16
99971290,53,-4,16
100001312,53,-4,16
100061316,53,-4,16
100095479,53,-4,16
100143491,53,-3,16
100175477,53,-3,16
100205477,53,-3,15
100227339,53,-3,15
100281497,53,-2,15
100305481,53,-2,15
100329492,53,-2,15
100377471,53,-2,15
100413300,53,-2,15
100443302,53,-2,15
100503323,53,-2,15
100543306,53,-2,15
100579368,53,-2,15
100609309,53,-2,15
100884547,53,-2,17
100914329,53,-2,20
100965482,53,-2,24
101013476,51,-2,30
101037471,50,-2,32
101061484,49,-3,34
101091482,49,-3,36
101139485,47,-3,39
101163478,47,-3,39
101193476,47,-3,40
101219299,47,-3,40
101273489,48,-3,40
101312286,48,-3,40
101340478,48,-3,39
101398283,48,-3,39
101428281,48,-3,39
101458280,48,-3,38
101527671,48,-3,38
101555292,48,-3,37
101579479,48,-3,37
101603498,48,-3,37
101659348,48,-3,37
101689317,48,-3,37
101738308,48,-3,36
